Date,Type,Link
2021-04-06 16:44:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784556055448862720
2021-04-06 14:57:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784994939160846336
2021-04-06 14:48:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6783788228483936256
2021-04-06 10:04:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784920839453212672
2021-04-06 10:04:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6785112583193010178
2021-04-05 16:43:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783177340517265408
2021-04-05 12:29:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784799422715879424
2021-04-05 06:55:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783979819718721536
2021-04-04 12:54:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784176985821331456
2021-04-03 19:13:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784002470709407744
2021-04-03 19:12:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783887645383647232
2021-04-03 07:16:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783081700785303552
2021-04-03 05:53:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783763467821215744
2021-04-03 05:52:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783656402599612416
2021-04-02 14:54:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782717814902951936
2021-04-02 03:34:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6778027118568771584
2021-04-02 03:33:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6783440257716101120
